Title,Years Exp.,Months Exp.,State,Main Source Of Income?,Employment Status,Marginalized,2018 net income,2019 Salary,Expected 2019 Net Income,Rate - Per hour,Rate - Cent per word,Issues,Miscategorized,Do you believe the game industry should unionize?,Should game writers work with a pre-existing labor organization?,,
"Game Writer, Narrative Designer, Quest Designer",2,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"50,000","51,500","51,500",,,"Low pay, Harassment",No,Yes,"We should form a union for all game developers, though it will be easier to just try to join a pre-existing guild. But we can't survive as the only unionized force in this industry. It will just further alienate us from the game making process (so many devs don't consider narrative to be an actual part of development. unionizing without them will just continue this misunderstanding.)",,
Narrative Designer,2,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"45,000","50,000","55,000",,,"Crunch (working over 40 hours a week), Low pay, Your work was not credited, Racism/Discrimination",No,Yes,Yes,,
Localization,2,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,48000,48000,48000,19,,"Crunch (working over 40 hours a week), Lack of relocation assistance, Lack of mentorship/training",No,Yes,Maybe,,
"Intern, Critic, Voluntary Staff Writer at GameCritics.com",,1 - 6,New York (NY),No,Solo developer - You work primarily on your own projects with no other permanent paid team,No,,,,,,Not employed by a website yet.,No,Yes,Yes,,
Localization,2,,New York (NY),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$10,000",,"$15,000",,,"Lack of remote jobs, Lack of relocation assistance, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Yes,Yes,,
"Game Writer, Narrative Designer, Quest Designer",3,,Maine (ME),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"31,000","45,000","35,000",$20,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",Yes,Yes,Maybe,,
"Game Writer, Narrative Designer, Quest Designer",3,,Washington (WA),No,Solo developer - You work primarily on your own projects with no other permanent paid team,No,,,,,,Not being able to get hired,No,Yes,Maybe,,
"Game Writer, Narrative Designer",10-15,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"62,250","83,000","62,250",,,"Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited",Yes,Yes,Yes,,
"Game Writer, Narrative Designer, Quest Designer, Currently Unemployed (if so, also mark your past title)",2,,I wish not to answer.,Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,$200,,"$1,000",,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,Maybe,,
"Editor, Journalist, Currently Unemployed (if so, also mark your past title), Critic",7,,North Carolina (NC),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"24,000",,"10,000",,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",Yes,Yes,Unsure of benefits or drawbacks of these choices,,
"Game Writer, Narrative Designer",5,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$44,000","$55,000","$45,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Maybe,,
Game Writer,3,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"49,000",,"49,000",27.5,,"Crunch (working over 40 hours a week), Lack of relocation assistance",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer",10-15,,Washington (WA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"$32,000","$135,200","$135,200",85,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,No - We should form a union for all game developers,,
"Game Writer, Narrative Designer, Editor, Quest Designer",2,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$47,000","$51,000","$48,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,"I'm not certain whether it would be more beneficial to have a Game Writers Guild/Union, or insist on being included within the WGA. Either way, we should have an organization!",,
Narrative Designer,10-15,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"90,000","100,000","100,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",No,Yes,No - We should form a union for all game developers,,
"Game Writer, Contributing/ Jr. / Associate Game Writer, Narrative Designer, Quest Designer, Currently Unemployed (if so, also mark your past title)",5,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,3500,,,40,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Narrative Designer,3,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,63000,,,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Maybe,,
Contributing/ Jr. / Associate Game Writer,2,,Washington (WA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$3,000",,"$2,000",20,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Delayed/missing payments, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Analog: Tabletop games,etc)",2,,Connecticut (CT),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,500,35000,1000,,,"Low pay, Lack of mentorship/training",No,Yes,Maybe,,
"Journalist, Critic",,1 - 6,Pennsylvania (PA),No,Solo developer - You work primarily on your own projects with no other permanent paid team,Yes,,,,,,Low pay,No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Journalist,3,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,$1,,$10,,,"Unpaid over-time, Low pay",No,Yes,No - We should form our own specific guild or union for U.S game writers,"well-written, concise questions",
"Game Writer (Digital), Narrative Designer, Educator",10-15,,New York (NY),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,6000,,5000,130,,"Unpaid over-time, Lack of remote jobs, Your work was not credited, Responsibilities extend beyond writing (design, production). Got hired for a project, where i was asked to lower my rates because it was a good amount of hours. Then project was downsized, so I only got paid half and at a lower rate, losing income I was counting on. ",No,Yes,Maybe,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc)",20-25 ,,Alabama (AL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,10000,,15000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Maybe,Maybe,"It's difficult for me to know if I'm part of a marginalized group or not, because it depends on whom you ask. I'm a 3/4 white transman. I receive discrimination for such from conservative bigots, but am also told by white liberals to shut up because I pass as a white male. I'm marginalized by both sides and speaking up about this is discouraged.",
Journalist,10-15,,I wish not to answer.,Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,"$12,520",,"$14,880",$7.50,,"Low pay, Lack of benefits/healthcare, Delayed/missing payments, (Delayed/missing payments was with a previous job)",Maybe,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Game Writer (Digital),15-20 ,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"$100,000","$160,000","$160,000",90,,"Lack of remote jobs, Lack of relocation assistance, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Yes,"I started my career in games as part of the Game Writing Caucus at the WGA (I was working in TV at the time). The needle has really moved on the idea of unionizing since then. But most of the concerns that game devs have aren't ones that have been handle effectively by existing Hollywood unions (overtime and instability), so I would want to know how they intend to solve that for games.",
"Game Writer (Digital), Narrative Designer",2,,Pennsylvania (PA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,35000,,40000,22.5,,"Lack of benefits/healthcare, Lack of remote jobs, Your work was not credited",Yes,Yes,Yes,,
Game Writer (Digital),3,,I wish not to answer.,Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"20,000","82,000","82,000",,,You have not personally experienced any major issues as a game writer,No,Maybe,Yes,"Survey doesn't quite address changes in status (I was part-time last year, full time this year) and work outside the U.S., which is very common in this industry.",
"Game Writer (Digital), Narrative Designer, Quest Designer, Lead Designer/Systems Designer",7,,Tennessee (TN),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$36,000",,"$40,000",$22,,"Lack of benefits/healthcare, Delayed/missing payments",No,No,No,,
Game Writer (Digital),4,,I wish not to answer.,No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,0,,5000,30,,Lack of benefits/healthcare,No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,This should specify Indie or AAA games ,
"Game Writer (Digital), Narrative Designer, Localization",4,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$70,000",,70000,35,,"Crunch (working over 40 hours a week), Lack of mentorship/training",No,Yes,Yes,,
"Game Writer (Digital), Narrative Designer, Quest Designer, Localization",10-15,,California (CA),No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,No,"$15,000","$45,000","$10,000",,100,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Your work was not credited, Constant revision requests, which is my own fault for not putting that in my contract. ",No,Maybe,Maybe,"I have friends in the film writers guild and they do think we should unionize. My biggest worry is I wouldn't be able to even pay myself a living wage? It's complicated I guess. I do think we should move toward that, but I also run my own studio and only do freelance writing on occasion these days. ",
Localization,15-20 ,,Washington (WA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$85,000",,"$90,000",$75,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer (Digital), Narrative Designer, Quest Designer",6,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"165,000","165,000","165,000",,,Crunch (working over 40 hours a week),No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc)",1,,Pennsylvania (PA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$1,000",,"$15,000",50,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer, Editor",5,,Texas (TX),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,12000,,10000,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Yes,Yes,No - We should form a union for all game developers,,
"Contributing/ Jr. / Associate Game Writer, Narrative Designer",4,,Washington (WA),Yes,Part time employee - You work around 1-30 hours a week for one studio on a permanent basis.,No,0,30000,25000,,,"Low pay, Lack of benefits/healthcare, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,no
"Game Writer (Digital), Narrative Designer",8,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,53000,,75000,50,,"Crunch (working over 40 hours a week), Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Narrative Designer",15-20 ,,Washington (WA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"85,000",,85000,57,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Yes,,
"Game Writer (Digital), Narrative Designer, Editor, Quest Designer, Localization",5,,Massachusetts (MA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"55,000",0,"20,000",40,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Maybe,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Editor, Journalist, Critic",4,,Oregon (OR),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,26000,,45000,40,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",No,Yes,Maybe,,
"Game Writer (Digital), Narrative Designer",2,,Connecticut (CT),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,1200,,2500,15$,,Low pay,No,Yes,Yes,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer",2,,California (CA),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,Yes,"$26,000",,"$26,000",20,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Your work was not credited",Maybe,Yes,Maybe,,
"Editor, Journalist, Critic",5,,Kansas (KS),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,8000,,19000,20,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments",Yes,Yes,Yes,,
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer, Narrative Designer, Journalist",7,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$65,000","$65,000","$65,000",,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Delayed/missing payments, Lack of mentorship/training, The 2019 ESA Journalist Leak",No,Yes,Yes,"I am full time and do freelance, was hard to quantify some $$$",
"Game Writer (Analog: Tabletop games,etc)",5,,South Carolina (SC),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,$500,$35,,"Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs",Yes,Yes,No - We should form a union for all game developers,,
Journalist,10-15,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,,,,,,Low pay,No,Maybe,Unsure/Don't know enough about the options to feel comfortable making a choice,Thank you for the opportunity.,
Journalist,5,,Missouri (MO),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"$40,000","$36,750","$40,000",,,"Low pay, Lack of relocation assistance, The 2019 ESA Journalist Leak",Yes,Yes,Yes,Journalists should probably end up with a separate survey from dev folks as the issues can be wildly different,
"Journalist, Critic",,1 - 6,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,0,52000,52000,,,"Crunch (working over 40 hours a week), Lack of relocation assistance, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.), The 2019 ESA Journalist Leak",No,Yes,Yes,,
"Editor, Critic",8,,Illinois (IL),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,3000,,1000,200,,"Low pay, Lack of benefits/healthcare, Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer (Digital), Narrative Designer",3,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,50000,,50000,50,,"Lack of benefits/healthcare, Lack of opportunity for title advancement ",Maybe,Yes,Yes,,
"Game Writer (Digital), Narrative Designer",4,,Oregon (OR),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,O,4000,30,,"Lack of benefits/healthcare, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.), Getting paid post release of a game.  Publisher and business takes money first and hoping to make a profit. :)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,I'm just happy to see a survey for game writers ,
"Game Writer (Digital), Narrative Designer",25+ ,,Michigan (MI),No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,No,"$95,000",,0,55,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
Project Coordinator/Manager,2,,New Jersey (NJ),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),No,6000,0,0,0,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",No,Yes,Yes,,
"Editor, Localization, Currently Unemployed (if so, also mark your past title)",2,,California (CA),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$4,000",,"$5,000",$25,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Your work was not credited",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Game Writer (Digital),10-15,,New York (NY),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,0,"90,000","95,000",,,The 2019 ESA Journalist Leak,No,Maybe,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Journalist,6,,Florida (FL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,0,,10000,16,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",Maybe,Yes,"I was part of IWW for a while, but I sort of feel like entertainment journalists were small fry compared to the issues freelancers of more important subjects would face.",I do appreciate you adding journalists under your umbrella.,
Game Writer (Digital),7,,California (CA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"$100,000",,"$150,000",56.25,,"Crunch (working over 40 hours a week), Unpaid over-time, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",Maybe,Yes,No - We should form our own specific guild or union for U.S game writers,,
Narrative Designer,4,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$70,000","$82,000",,,,Crunch (working over 40 hours a week),No,Yes,Maybe,,No
"Game Writer (Digital), Narrative Designer",10-15,,Massachusetts (MA),No,Part time executive - You run a company/studio as a writer around 1-30 hours a week,Yes,,,,,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.)",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Game Writer (Digital), Narrative Designer, Editor",5,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,92000,90000,105000,45,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of relocation assistance, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,No - We should form a union for all game developers,"It would be nice to see income vs. location, because someone making $100k in SF is basically in poverty, but someone making $100k in Kansas is doing rad.",
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Contributing/ Jr. / Associate Game Writer, Narrative Designer, Editor",5,,Massachusetts (MA),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"32,000",,"34,000",30,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Maybe,Yes,Wasn't sure if I should answer a question if it applied but not for writing (such as the contractor question). This was otherwise a fine survey.,
"Game Writer (Digital), Narrative Designer",4,,Ohio (OH),Yes,Full time contractor - You work more than 35 hours a week for one studio on a contract that is on a fixed amount of time or a rolling cycleof renewal.,No,"$28,000","$40,000","$28,000",$30,,"Crunch (working over 40 hours a week), Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of mentorship/training",Yes,Yes,Maybe,Thank you for working to bring more attention to this important issue. ,
"Game Writer (Digital), Critic",3,,I wish not to answer.,Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"$55,000","$59,000","$59,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of remote jobs, Lack of relocation assistance",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
Localization,1,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,"20,000",,"20,000",14,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",Maybe,Yes,Yes,You are fucking great thank you for the hard work.,
"Game Writer (Digital), Narrative Designer",10-15,,Oregon (OR),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"80,000.00",,"80,000.00",85,,"Crunch (working over 40 hours a week), Unpaid over-time, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments",Yes,Yes,No - We should form a union for all game developers,,
Journalist,3,,Illinois (IL),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,"11,000",,"20,000",,,"Crunch (working over 40 hours a week), Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments",Maybe,Yes,Maybe,,
"Game Writer (Digital), Narrative Designer",25+ ,,Washington (WA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,No,"120,000",,"120,000",150,,"Crunch (working over 40 hours a week), Frequent job instability (due to lay-offs, contract status, etc.), Your work was not credited",Yes,Yes,No - We should form a union for all game developers,,
"Game Writer (Digital), Narrative Designer",,1 - 6,California (CA),No,Solo developer - You work primarily on your own projects with no other permanent paid team,No,0,0,5000,40,,"Unpaid over-time, Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training",No,Yes,Yes,,
"Journalist, Critic",7,,Ohio (OH),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,"$2,000",,"$3,000",,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Maybe,,
Journalist,7,,California (CA),Yes,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,8000,,7000,,,"Low pay, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training",No,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
"Editor, Journalist",2,,Arizona (AZ),No,Part Time Freelancer - You work around 1-30 hours a week for one or multiple projects (which can include your own),Yes,0,,"$5,000",10,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, Lack of mentorship/training",Yes,Yes,Maybe,"I felt like some of the answers didn't apply to me as a journalist/editor, but that's ok.",
"Game Writer (Digital), Narrative Designer",7,,California (CA),Yes,"Full time executive - You run a company/studio as a writer, narrative lead, editor, etc. (with hiring power) for 35 or more hours per week",No,"21,000","80,000","80,000",,,"Crunch (working over 40 hours a week), Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of relocation assistance, Delayed/missing payments, Lack of mentorship/training, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.)",No,Yes,Maybe,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer, Editor",25+ ,,New York (NY),No,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),No,0,,,80,,"Your work was not credited, Harassment/Discrimination (on basis of race, gender, sexuality, age, etc.), Ageism is my main issue. Also: female. ",Yes,Yes,Yes,"I am a bit of an outlier, and so some of the questions are not quite right for my situation. But, I've been successfully freelancer for almost 25 years and see lots of underpayment and exploitation of younger workers, who are more vulnerable. The best thing you can do is educate people about HOW MUCH MONEY they are leaving on the table and what is their LEVERAGE as a skilled or super-skilled and responsible employee. It's way more $$ to hire someone new than to make current staffers happy and productive. ",no
"Game Writer (Digital), Contributing/ Jr. / Associate Game Writer",3,,California (CA),Yes,Full time employee - You work more than 35 hours a week for a studio on a permanent basis.,Yes,52000,52000,52000,,,"Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Lack of mentorship/training, Your work was not credited",No,Yes,No - We should form our own specific guild or union for U.S game writers,,
"Game Writer (Digital), Game Writer (Analog: Tabletop games,etc), Narrative Designer",8,,North Carolina (NC),Yes,Full Time Freelancer - You work 35 or more hours for one or multiple projects (including your own),Yes,"92,000",,"70,000",50,,"Unpaid over-time, Low pay, Lack of benefits/healthcare, Frequent job instability (due to lay-offs, contract status, etc.), Lack of remote jobs, Delayed/missing payments, No PTO, difficulty getting permission to use work in my portfolio, noncompetes that are stupidly rigid, not being paid what I’m worth so it’s like “accept this job at $15/hr lower than your rate or be unemployed,” and the number of companies that insist on writing positions being onsite",Yes,Yes,Unsure/Don't know enough about the options to feel comfortable making a choice,,
